accession	description	length	virus	mol_type	isolate	host	db_xref	country	date	strain	author	journal	title	division
MT334573	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00361/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29848	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00361/2020	Homo sapiens	taxon:2697049	USA	2020-03-30	SARS-CoV-2/human/USA/UT-00361/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334572	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00352/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00352/2020	Homo sapiens	taxon:2697049	USA	2020-03-27	SARS-CoV-2/human/USA/UT-00352/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334571	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00350/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29803	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00350/2020	Homo sapiens	taxon:2697049	USA	2020-03-26	SARS-CoV-2/human/USA/UT-00350/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334570	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00349/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29886	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00349/2020	Homo sapiens	taxon:2697049	USA	2020-03-26	SARS-CoV-2/human/USA/UT-00349/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334569	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00348/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29863	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00348/2020	Homo sapiens	taxon:2697049	USA	2020-03-27	SARS-CoV-2/human/USA/UT-00348/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334568	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00347/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29893	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00347/2020	Homo sapiens	taxon:2697049	USA	2020-03-27	SARS-CoV-2/human/USA/UT-00347/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334567	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00346/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00346/2020	Homo sapiens	taxon:2697049	USA	2020-03-26	SARS-CoV-2/human/USA/UT-00346/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334566	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00345/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00345/2020	Homo sapiens	taxon:2697049	USA	2020-03-25	SARS-CoV-2/human/USA/UT-00345/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334565	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00344/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00344/2020	Homo sapiens	taxon:2697049	USA	2020-03-26	SARS-CoV-2/human/USA/UT-00344/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334564	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00342/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00342/2020	Homo sapiens	taxon:2697049	USA	2020-03-25	SARS-CoV-2/human/USA/UT-00342/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334563	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00303/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29849	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00303/2020	Homo sapiens	taxon:2697049	USA	2020-03-26	SARS-CoV-2/human/USA/UT-00303/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
